""	173
"liaison"	1
"like"	8
"liked"	1
"likely"	1
"limegreen"	1
"liquid"	1
"little"	5
"live"	2
"lived"	2
"living"	2
"long"	2
"look"	3
"looking"	2
"lord"	1
"losing"	2
"lot"	3
"low"	1
"mad"	1
"made"	4
"magic"	5
"magical"	4
"maintain"	1
"making"	2
"maladies"	1
"man"	4
"many"	1
"mark"	1
"mass"	3
"materializing"	1
"matter"	1
"may"	2
"maybe"	1
"me"	8
"mean"	4
"meant"	1
"meeting"	2
"memories"	1
"memory"	2
"mention"	2
"merlin"	1
"middle"	1
"middleaged"	1
"might"	2
"minister"	60
"ministry"	4
"miserably"	1
"misinformation"	1
"mistaken"	1
"modifications"	1
"modify"	1
"moment"	3
"momentarily"	1
"morale"	1
"more"	6
"morosely"	1
"most"	2
"motionless"	2
"move"	1
"moved"	1
"much"	2
"muddybrown"	1
"muggle"	4
"muggles"	4
"mungo"	1
"murder"	2
"murdered"	2
"murders"	2
"must"	2
"muttered"	1
"my"	3
"mysterious"	1
"name"	2
"named"	4
"nasty"	2
"naturally"	1
"need"	2
"nervously"	1
"never"	6
"nevertheless"	1
"news"	2
"newspapers"	2
"next"	2
"niece"	1
"night"	2
"no"	8
"nobody"	1
"none"	1
"nonmagical"	2
"nor"	1
"north"	1
"nose"	1
"not"	18
"notbenamed"	2
"nothing"	3
"notice"	1
"notify"	1
"now"	6
"o"	2
"obliviators"	1
"occasionally"	1
"occupant"	1
"oddson"	1
"of"	91
"oh"	1
"ol"	1
"on"	13
"once"	3
"one"	6
"only"	2
"open"	1
"opposition"	2
"or"	6
"orld"	1
"other"	4
"others"	1
"otherwise"	1
"ou"	3
"ought"	2
"ouknowwho"	3
"oull"	1
"our"	3
"oure"	1
"ournament"	1
"out"	17
"over"	2
"overstatement"	1
"own"	2
"p"	11
"pace"	1
"painting"	1
"panic"	1
"panted"	1
"parchment"	1
"patted"	1
"people"	2
"persistent"	1
"person"	1
"picture"	1
"piece"	1
"pinstriped"	1
"pity"	1
"placing"	1
"planned"	1
"planning"	1
"plate"	1
"playing"	1
"pocket"	1
"point"	4
"pointed"	1
"poking"	1
"population"	3
"portrait"	5
"positively"	1
"potter"	12
"powder"	1
"powerful"	1
"precisely"	1
"predecessor"	1
"premises"	1
"press"	1
"pretty"	1
"prevented"	1
"previous"	1
"previously"	1
"prime"	56
"prince"	11
"prise"	1
"prison"	1
"private"	1
"properly"	1
"proved"	1
"public"	1
"pulled"	1
"pulling"	1
"purposes"	1
"pushed"	1
"put"	3
"questions"	1
"quite"	4
"ranting"	1
"rapidly"	2
"rather"	4
"real"	1
"realized"	2
"really"	5
"reason"	1
"reassurances"	1
"rees"	1
"refused"	1
"regulation"	2
"regulations"	1
"rejoin"	1
"remained"	2
"remember"	1
"remembered"	2
"reminders"	1
"remotest"	1
"remove"	1
"repeated"	2
"resented"	1
"resolved"	1
"responsibility"	1
"responsible"	1
"rest"	1
"reveals"	1
"rid"	1
"rigging"	1
"rim"	1
"ripped"	1
"rising"	1
"riwizard"	1
"roofs"	1
"room"	2
"round"	1
"rounded"	1
"routine"	1
"rowling"	11
"rubbing"	1
"ruckus"	1
"rule"	1
"run"	1
"running"	1
"rusted"	1
"s"	37
"safer"	1
"said"	25
"same"	2
"sat"	1
"savoring"	1
"saw"	2
"say"	9
"saying"	1
"says"	1
"scheming"	1
"schoolboy"	1
"scratching"	1
"sea"	1
"secrecy"	1
"secret"	1
"secretary"	1
"see"	2
"seeing"	1
"seemed"	1
"seen"	2
"selfproclaimed"	1
"sense"	1
"serious"	3
"several"	2
"shaken"	1
"she"	3
"shock"	1
"should"	3
"shoulder"	1
"shout"	1
"shouted"	1
"shower"	1
"shuddered"	1
"sight"	1
"silent"	1
"simply"	2
"since"	1
"sirius"	1
"sit"	3
"sitting"	1
"sleep"	1
"smugness"	1
"snapped"	1
"snarled"	1
"so"	8
"some"	2
"somerset"	1
"something"	3
"sopping"	1
"sorry"	2
"sort"	2
"soul"	1
"sound"	1
"sounded"	2
"sparks"	1
"speaking"	1
"speech"	1
"speechless"	1
"sphinx"	2
"sphinxes"	1
"spinning"	2
"spluttered"	1
"spoke"	1
"spot"	1
"squinted"	1
"st"	1
"stab"	1
"stamping"	1
"standing"	2
"started"	1
"state"	1
"stepped"	1
"stepping"	1
"steps"	1
"stern"	1
"sternly"	1
"stif"	1
"still"	5
"stilldumbstruck"	1
"stood"	4
"stopped"	2
"strain"	1
"stretch"	1
"striding"	1
"subject"	1
"such"	1
"support"	2
"suppose"	2
"sure"	1
"surely"	2
"surprise"	1
"surprised"	1
"surreptitiously"	1
"suspect"	1
"sworn"	1
"t"	22
"take"	1
"taken"	2
"taking"	1
"talked"	1
"talking"	4
"teacup"	2
"teams"	1
